scientificName,vernacularName,namePublishedIn,custom_TaxonAsRecorded,basisOfRecord,eventDate,locality,locationID,fieldNotes,custom_TransectStartLatitude,custom_TransectStartLongitude,custom_TransectEndLatitude,custom_TransectEndLongitude,geodeticDatum,coordinateUncertaintyInMeters,locationRemarks,verbatimCoordinates,verbatimCoordinateSystem,verbatimSRS,individualCount,custom_CoordinateBearing,custom_Transect,custom_InterceptPoint,decimalLongitude,decimalLatitude,taxonRank,coordinate_flag,taxonomic_flag,eventDate_flag
Muhlenbergia capillaris,"Muhlygrass, Hairawnmuhly",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,muhlcapi,Human Observation,2002-05-21,BICY,215-71,NA,26.2303,-80.9066,26.2305,-80.9043,WGS84,314,Cell #AW04,"17N 2901187 E, 509327 N",UTM,WGS84,1,90,215,71,-80.90482360901423,26.230299989023074,species,A,A,A
Paspalum monostachyum,Gulfdune paspalum,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,paspmono,Human Observation,2004-04-07,BICY,436-13,NA,26.2515,-81.2499,26.2493,-81.2496,WGS84,314,Cell #O02,"17N 2903558 E, 475040 N",UTM,WGS84,1,180,436,13,-81.2499,26.25120665714066,species,A,A,A
Rhynchospora microcarpa,Southern beaksedge,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,rhynmicr2,Human Observation,2002-08-29,BICY,251-34,NA,25.784300000000002,-81.0757,25.7827,-81.0774,WGS84,314,Cell #AF54,"17N 2851797 E, 492406 N",UTM,WGS84,1,230,251,34,-81.07634918854308,25.783806817184978,species,A,A,A
Fraxinus caroliniana,"Water ash, Carolina ash, Pop ash",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,fraxcaro,Human Observation,2004-05-18,BICY,364-89,NA,26.2236,-81.0959,26.222,-81.0973,WGS84,314,Cell #AD05,"17N 2900452 E, 490421 N",UTM,WGS84,1,220,364,89,-81.09733122237934,26.222061562430884,species,A,A,A
Fraxinus caroliniana,"Water ash, Carolina ash, Pop ash",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,fraxcaro,Human Observation,2003-04-24,BICY,613-87,NA,25.7194,-81.0846,25.7216,-81.0853,WGS84,314,Cell #AE61,"17N 2844609 E, 491518 N",UTM,WGS84,1,345,613,87,-81.08516095254025,25.721296386387458,species,A,A,A
Myrica cerifera,"Wax myrtle, Southern Bayberry",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,myriceri,Human Observation,2004-05-07,BICY,368-63,NA,25.7236,-80.9208,25.7257,-80.9206,WGS84,314,Cell #AU60,"17N 2845078 E, 507948 N",UTM,WGS84,1,0,368,63,-80.9208,25.72502168820073,species,A,A,A
Salix caroliniana,Coastal Plain willow,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,salicaro,Human Observation,2003-02-05,BICY,467-58,NA,26.1795,-80.9405,26.1786,-80.9427,WGS84,314,Cell #AS10,"17N 2895569 E, 505946 N",UTM,WGS84,1,250,467,58,-80.94186302516144,26.17905236662199,species,A,A,A
Cladium jamaicense,"Saw-grass, Jamaica swamp sawgrass",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,cladjama,Human Observation,2003-02-11,BICY,489-27,NA,26.0752,-81.293,26.0762,-81.2954,WGS84,314,Cell #J21,"17N 2884040 E, 470692 N",UTM,WGS84,1,300,489,27,-81.29358425382918,26.0755046315416,species,A,A,A
Annona glabra,Pond-apple,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,annoglab,Human Observation,2004-04-15,BICY,387-8,NA,26.2539,-81.0377,26.2532,-81.0356,WGS84,314,Cell #AJ02,"17N 2903800 E, 496238 N",UTM,WGS84,1,120,387,8,-81.03752662430894,26.25380974058547,species,A,A,A
Rhynchospora inundata,Narrowfruit horned beaksedge,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,rhyninun,Human Observation,2002-10-29,BICY,291-7,NA,26.1255,-81.2857,26.1233,-81.2869,WGS84,314,Cell #K16,"17N 2889619 E, 471434 N",UTM,WGS84,1,210,291,7,-81.28578749019016,26.125363205534835,species,A,A,A
Taxodium ascendens,Pond cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxoasce,Human Observation,2004-04-14,BICY,416-44,NA,26.2163,-81.0953,26.2174,-81.0932,WGS84,314,Cell #AJ06,"17N 2899645 E, 490479 N",UTM,WGS84,1,70,416,44,-81.09426564890799,26.216639573569655,species,A,A,A
Rhynchospora divergens,Spreading beaksedge,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,rhyndive,Human Observation,2002-09-17,BICY,222-26,NA,25.6988,-80.9736,25.6966,-80.974,WGS84,314,Cell #AP63,"17N 2842329 E, 502644 N",UTM,WGS84,1,200,222,26,-80.97382148892368,25.69824865347358,species,A,A,A
Paspalum monostachyum,Gulfdune paspalum,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,paspmono,Human Observation,2004-05-12,BICY,361-64,NA,25.9514,-80.9266,25.9534,-80.9257,WGS84,314,Cell #AU35,"17N 2870304 E, 507352 N",UTM,WGS84,1,300,361,64,-80.92798345115361,25.95212209812084,species,A,A,A
Sisyrinchium angustifolium,Narroleaf blueeyed-grass,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,sisyangu,Human Observation,2002-07-17,BICY,163-92,NA,26.0432,-81.0379,26.0411,-81.0375,WGS84,314,"Cell #AJ25, Central Pines","17N 2880474 E, 496209 N",UTM,WGS84,1,180,163,92,-81.0379,26.04112397485525,species,A,A,A
Persea palustris,Swamp bay,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,perspalu,Human Observation,2004-03-03,BICY,380-23,NA,26.1969,-81.3017,26.1947,-81.3022,WGS84,314,Cell #I08,"17N 2897525 E, 469858 N",UTM,WGS84,1,190,380,23,-81.30179989699081,26.19638888950503,species,A,A,A
Myrica cerifera,"Wax myrtle, Southern Bayberry",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,myriceri,Human Observation,2002-08-27,BICY,231-9,NA,26.043,-80.9091,26.0448,-80.9074,WGS84,314,Cell #AW25,"17N 2880453 E, 509098 N",UTM,WGS84,1,45,231,9,-80.9089410299245,26.043143605797923,species,A,A,A
Paspalum monostachyum,Gulfdune paspalum,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,paspmono,Human Observation,2004-06-16,BICY,334-73,NA,26.2329,-81.0986,26.2346,-81.0971,WGS84,314,Cell #AD04,"17N 2901479 E, 490153 N",UTM,WGS84,1,40,334,73,-81.09742595453511,26.234161852005624,species,A,A,A
Myrica cerifera,"Wax myrtle, Southern Bayberry",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,myriceri,Human Observation,2004-03-31,BICY,321-54,NA,26.1331,-81.0631,26.1352,-81.0633,WGS84,314,Cell #AG15,"17N 2890423 E, 493688 N",UTM,WGS84,1,0,321,54,-81.0631,26.134318521035034,species,A,A,A
Chrysobalanus icaco,Coco-plum,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,chryicac,Human Observation,2003-04-29,BICY,606-81,NA,25.8642,-81.2501,25.8627,-81.2519,WGS84,314,Cell #N45,"17N 2860672 E, 474942 N",UTM,WGS84,1,230,606,81,-81.25164762575665,25.86302507253479,species,A,A,A
Paspalum monostachyum,Gulfdune paspalum,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,paspmono,Human Observation,2003-02-07,BICY,493-17,NA,25.8691,-81.0272,25.8679,-81.0294,WGS84,314,Cell #AK44,"17N 2861184 E, 497273 N",UTM,WGS84,1,250,493,17,-81.02759845880314,25.868968792825573,species,A,A,A
Spartina bakeri,Sand cordgrass,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,sparbake,Human Observation,2004-03-25,BICY,373-11,NA,25.8451,-81.3595,25.8474,-81.3595,WGS84,314,Cell #C47,"17N 2858583 E, 463972 N",UTM,WGS84,1,180,373,11,-81.3595,25.844851772844272,species,A,A,A
Citrus sinensis,Sweet orange,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,citrsine,Human Observation,2002-08-01,BICY,193-29,NA,26.1696,-81.2652,26.1674,-81.2645,WGS84,314,Cell #M11,"17N 2894488 E, 473501 N",UTM,WGS84,1,170,193,29,-81.26507407241391,26.168955553870116,species,A,A,A
Ludwigia repens,Creeping primrosewillow,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,ludwrepe,Human Observation,2004-04-29,BICY,419-60,NA,25.8155,-81.0426,25.8165,-81.0447,WGS84,314,Cell #AI50,"17N 2855253 E, 495730 N",UTM,WGS84,1,300,419,60,-81.04389550118088,25.81617698009412,species,A,A,A
Tillandsia paucifolia,"Twisted wild-pine, Potbelly airplant",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,tillpauc,Human Observation,2002-05-09,BICY,183-96,NA,25.9254,-80.8441,25.9234,-80.8439,WGS84,314,Cell #BC38,"17N 2867427 E, 515616 N",UTM,WGS84,1,180,183,96,-80.8441,25.923233677606486,species,A,A,A
Spermacoce terminalis,Everglades Keys false buttonweed,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,sperterm,Human Observation,2002-04-08,BICY,170-11,NA,25.9578,-81.3129,25.959,-81.315,WGS84,314,Cell #2460/H34,"17N 2871044 E, 468672 N",UTM,WGS84,1,310,170,11,-81.31311033972267,25.95795955470294,species,A,A,A
Schinus terebinthifolius,Brazilian-pepper,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,schitere,Human Observation,2002-10-31,BICY,274-45,NA,25.9152,-81.2644,25.9163,-81.2664,WGS84,314,Cell #M39,"17N 2866314 E, 473518 N",UTM,WGS84,1,305,274,45,-81.26531980767803,25.91578244379672,species,A,A,A
Rapanea punctata,"Myrsine, Colicwood",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,rapapunc,Human Observation,2003-02-11,BICY,482-40,NA,25.963,-81.0302,25.9653,-81.0305,WGS84,314,Cell #AJ34,"17N 2871588 E, 496977 N",UTM,WGS84,1,0,482,40,-81.0302,25.963902629453415,species,A,A,A
Sabal palmetto,Cabbage palm,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,sabapalm,Human Observation,2004-05-18,BICY,366-72,NA,26.2061,-81.0978,26.2076,-81.0996,WGS84,314,Cell #AD07,"17N 2898512 E, 490230 N",UTM,WGS84,1,310,366,72,-81.09917968742167,26.207144316435482,species,A,A,A
Cornus foemina,"Stiff cornel, Swamp dogwood, Stiff dogwood",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,cornfoem,Human Observation,2004-06-22,BICY,310-78,NA,26.1685,-81.2779,26.1671,-81.2762,WGS84,314,Cell #L11,"17N 2894377 E, 472231 N",UTM,WGS84,1,170,310,78,-81.27756130454043,26.166766661487195,species,A,A,A
Ilex cassine,"Dahoon holly, Dahoon",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,ilexcass,Human Observation,2004-03-17,BICY,377-85,NA,26.1818,-81.343,26.1802,-81.3413,WGS84,314,Cell #E10,"17N 2895858 E, 465728 N",UTM,WGS84,1,150,377,85,-81.34193712297355,26.180138933559565,species,A,A,A
Cladium jamaicense,"Saw-grass, Jamaica swamp sawgrass",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,cladjama,Human Observation,2002-06-18,BICY,147-38,NA,26.1543,-81.3354,26.1527,-81.334,WGS84,314,"Cell #F13, SE of Miles City","17N 2892813 E, 466479 N",UTM,WGS84,1,135,147,38,-81.3347281617439,26.15369367179814,species,A,A,A
Scleria baldwinii,Baldwin's nutrush,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,sclebald,Human Observation,2002-09-19,BICY,221-30,NA,26.1911,-80.8875,26.1901,-80.8896,WGS84,314,Cell #AY09,"17N 2896849 E, 511241 N",UTM,WGS84,1,250,221,30,-80.88820508412788,26.190868467481533,species,A,A,A
Taxodium distichum,Bald cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxodist,Human Observation,2002-08-07,BICY,259-40,NA,26.1609,-81.2653,26.163,-81.2655,WGS84,314,Cell #M12,"17N 2893533 E, 473488 N",UTM,WGS84,1,0,259,40,-81.2653,26.161802604710058,species,A,A,A
Quercus virginiana,Virginia live oak,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,quervirg,Human Observation,2002-11-08,BICY,288-42,NA,25.748,-80.9377,25.75,-80.9372,WGS84,314,Cell #AT58,"17N 2847783 E, 506247 N",UTM,WGS84,1,20,288,42,-80.93734205864097,25.748890629883487,species,A,A,A
Panicum repens,Torpedo grass,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,panirepe,Human Observation,2004-05-20,BICY,393-15,NA,26.2529,-80.8936,26.2541,-80.8915,WGS84,314,Cell #AX02,"17N 2903700 E, 510627 N",UTM,WGS84,1,60,393,15,-80.89327492264032,26.253069235858746,species,A,A,A
Sisyrinchium angustifolium,Narroleaf blueeyed-grass,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,sisyangu,Human Observation,2003-02-21,BICY,500-87,NA,26.0012,-80.9317,25.9991,-80.9313,WGS84,314,Cell #AT30,"17N 2875821 E, 506840 N",UTM,WGS84,1,180,500,87,-80.9317,25.99923679091539,species,A,A,A
Taxodium ascendens,Pond cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxoasce,Human Observation,2004-03-26,BICY,414-62,NA,26.2242,-81.0649,26.2242,-81.0674,WGS84,314,Cell #AG05,"17N 2900516 E, 493515 N",UTM,WGS84,1,270,414,62,-81.06645113374306,26.224199991631814,species,A,A,A
Fraxinus caroliniana,"Water ash, Carolina ash, Pop ash",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,fraxcaro,Human Observation,2004-05-05,BICY,331-59,NA,26.2506,-81.0295,26.2527,-81.0285,WGS84,314,Cell #AK02,"17N 2903435 E, 497051 N",UTM,WGS84,1,30,331,59,-81.02876178654817,26.25175295964892,species,A,A,A
Serenoa repens,Saw palmetto,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,sererepe,Human Observation,2002-06-18,BICY,148-100,NA,26.1363,-81.3348,26.137,-81.3325,WGS84,314,"Cell #F15, SE of Miles City","17N 2890819 E, 466533 N",UTM,WGS84,1,70,148,100,-81.33245079760394,26.137071755974638,species,A,A,A
Centella asiatica,"Coinwort, Spadeleaf",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,centasia,Human Observation,2004-03-30,BICY,389-76,NA,26.1428,-80.8861,26.142,-80.8883,WGS84,314,Cell #AY14,"17N 2891503 E, 511389 N",UTM,WGS84,1,250,389,76,-80.88788547202643,26.142213440316382,species,A,A,A
Piloblephis rigida,Wild pennyroyal,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,pilorigi,Human Observation,2003-01-04,BICY,460-78,NA,26.2036,-80.9318,26.2058,-80.9315,WGS84,314,Cell #AT07,"17N 2898234 E, 506815 N",UTM,WGS84,1,10,460,78,-80.93146119301555,26.205333328842006,species,A,A,A
Myrica cerifera,"Wax myrtle, Southern Bayberry",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,myriceri,Human Observation,2003-01-03,BICY,458-11,NA,26.2306,-80.9468,26.2319,-80.9444,WGS84,314,Cell #AS04,"17N 2901222 E, 505314 N",UTM,WGS84,1,60,458,11,-80.94656165551669,26.23072410675415,species,A,A,A
Blechnum serrulatum,"Swamp fern, Toothed midsorus fern",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,blecserr,Human Observation,2004-05-05,BICY,330-94,NA,26.2506,-81.0295,26.2484,-81.0298,WGS84,314,Cell #AK02,"17N 2903435 E, 497051 N",UTM,WGS84,1,185,330,94,-81.02970500840094,26.248486976204912,species,A,A,A
Sabal palmetto,Cabbage palm,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,sabapalm,Human Observation,2004-03-24,BICY,370-25,NA,25.9769,-81.3355,25.9789,-81.3346,WGS84,314,Cell #F32,"17N 2873174 E, 466418 N",UTM,WGS84,1,30,370,25,-81.33518792714445,25.977388561262217,species,A,A,A
Ruellia succulenta,Thickleaf wild petunia,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,ruelsucc,Human Observation,2004-04-07,BICY,432-28,NA,26.25,-81.2548,26.2478,-81.2547,WGS84,314,Cell #N02,"17N 2903396 E, 474557 N",UTM,WGS84,1,180,432,28,-81.2548,26.249368184463812,species,A,A,A
Annona glabra,Pond-apple,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,annoglab,Human Observation,2003-04-29,BICY,607-90,NA,25.8642,-81.2501,25.8662,-81.252,WGS84,314,Cell #N45,"17N 2860672 E, 474942 N",UTM,WGS84,1,320,607,90,-81.25154293560504,25.865755786087636,species,A,A,A
Tillandsia variabilis,"Soft-leaved wild-pine, Leatherleaf airplant",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,tillvari,Human Observation,2004-04-29,BICY,405-91,NA,25.8211,-81.0303,25.8202,-81.0326,WGS84,314,Cell #AJ50,"17N 2855868 E, 496959 N",UTM,WGS84,1,250,405,91,-81.03243205563874,25.820397638333425,species,A,A,A
Myrica cerifera,"Wax myrtle, Southern Bayberry",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,myriceri,Human Observation,2002-08-09,BICY,263-58,NA,26.1792,-80.9943,26.1805,-80.9961,WGS84,314,Cell #AN10,"17N 2895533 E, 500573 N",UTM,WGS84,1,310,263,58,-80.99541115766941,26.180041259105646,species,A,A,A
Cladium jamaicense,"Saw-grass, Jamaica swamp sawgrass",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,cladjama,Human Observation,2002-09-17,BICY,197-38,NA,25.7085,-80.9687,25.7065,-80.9691,WGS84,314,Cell #AQ62,"17N 2843408 E, 503144 N",UTM,WGS84,1,190,197,38,-80.9688643671179,25.70765549956022,species,A,A,A
NA,NA,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,NA,Human Observation,2002-05-20,BICY,190-51,NA,25.7828,-80.8764,25.7807,-80.8773,WGS84,314,"Cell #AZ54, inside Loop Rd.","17N 2851635 E, 512389 N",UTM,WGS84,1,205,190,51,-80.87693721599395,25.781756946337328,NA,A,R,A
NA,NA,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,NA,Human Observation,2002-06-13,BICY,136-90,NA,26.0401,-81.0673,26.0421,-81.0672,WGS84,314,"Cell #AG25, Middle Pines, near Cal Stone","17N 2880124 E, 493267 N",UTM,WGS84,1,5,136,90,-81.06710406021493,26.04212316615924,NA,A,R,A
NA,NA,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,unknown,Human Observation,2002-11-08,BICY,271-15,NA,25.7561,-81.0054,25.7563,-81.0064,WGS84,314,"Cell #AM57, origin estimated with ARCMap","17N 2848673 E, 499461 N",UTM,WGS84,1,280,271,15,-81.00576811206956,25.75615877869819,NA,A,R,A
Sabal palmetto,Cabbage palm,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,sabapalm,Human Observation,2002-11-08,BICY,270-17,NA,25.7556,-81.003,25.7566,-81.0018,WGS84,314,"Cell #AM57, origin estimated with ARCMap","17N 2848614 E, 499702 N",UTM,WGS84,1,80,270,17,-81.00258280804076,25.75566661579219,species,A,A,A
Cladium jamaicense,"Saw-grass, Jamaica swamp sawgrass",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,cladjama,Human Observation,2002-09-17,BICY,222-23,NA,25.6988,-80.9736,25.6966,-80.974,WGS84,314,Cell #AP63,"17N 2842329 E, 502644 N",UTM,WGS84,1,200,222,23,-80.97379593261353,25.698312270399768,species,A,A,A
Taxodium ascendens,Pond cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxoasce,Human Observation,2004-04-09,BICY,442-48,NA,25.7911,-81.0952,25.7893,-81.0965,WGS84,314,Cell #AD53,"17N 2852556 E, 490453 N",UTM,WGS84,1,215,442,48,-81.0958862681343,25.79021270833703,species,A,A,A
Serenoa repens,Saw palmetto,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,sererepe,Human Observation,2002-04-09,BICY,181-5,NA,26.1888,-81.2352,26.1889,-81.2377,WGS84,314,Cell #3893; P09,"17N 2896616 E, 476496 N",UTM,WGS84,1,280,181,5,-81.23532315377633,26.188819591830427,species,A,A,A
Taxodium ascendens,Pond cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxoasce,Human Observation,2004-05-18,BICY,364-71,NA,26.2236,-81.0959,26.222,-81.0973,WGS84,314,Cell #AD05,"17N 2900452 E, 490421 N",UTM,WGS84,1,220,364,71,-81.09704176471091,26.222372708283775,species,A,A,A
Taxodium ascendens,Pond cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxoasce,Human Observation,2002-05-22,BICY,219-5,NA,25.7737,-81.0393,25.7735,-81.0388,WGS84,314,Cell #AJ55 (North of Loop Road),"17N 2850623 E, 496063 N",UTM,WGS84,1,155,219,5,-81.03924733536763,25.773597739803417,species,A,A,A
Panicum repens,Torpedo grass,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,panirepe,Human Observation,2004-05-20,BICY,393-57,NA,26.2529,-80.8936,26.2541,-80.8915,WGS84,314,Cell #AX02,"17N 2903700 E, 510627 N",UTM,WGS84,1,60,393,57,-80.8923647010215,26.253543092328314,species,A,A,A
Muhlenbergia capillaris,"Muhlygrass, Hairawnmuhly",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,muhlcapi,Human Observation,2004-03-30,BICY,391-82,NA,26.1527,-80.8913,26.1549,-80.891,WGS84,314,Cell #AX13,"17N 2892602 E, 510865 N",UTM,WGS84,1,10,391,82,-80.89094397271622,26.154522230357323,species,A,A,A
Cladium jamaicense,"Saw-grass, Jamaica swamp sawgrass",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,cladjama,Human Observation,2004-03-17,BICY,376-99,NA,26.1818,-81.343,26.1797,-81.3438,WGS84,314,Cell #E10,"17N 2895858 E, 465728 N",UTM,WGS84,1,220,376,99,-81.34459146317975,26.180088693436154,species,A,A,A
Ruellia succulenta,Thickleaf wild petunia,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,ruelsucc,Human Observation,2004-04-07,BICY,436-74,NA,26.2515,-81.2499,26.2493,-81.2496,WGS84,314,Cell #O02,"17N 2903558 E, 475040 N",UTM,WGS84,1,180,436,74,-81.2499,26.24983020202528,species,A,A,A
Ardisia escallonioides,Marlberry,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,ardiesca,Human Observation,2002-07-31,BICY,194-51,NA,26.0499,-81.3429,26.0503,-81.3446,WGS84,314,"Cell #E24, Deep Lake","17N 2881252 E, 465701 N",UTM,WGS84,1,290,194,51,-81.34409720964224,26.050293605076394,species,A,A,A
NA,NA,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,NA,Human Observation,2002-11-05,BICY,293-97,NA,26.0816,-81.2488,26.0816,-81.2464,WGS84,314,Cell #O21,"17N 2884745 E, 475114 N",UTM,WGS84,1,90,293,97,-81.24637617424298,26.081599979645024,NA,A,R,A
Muhlenbergia capillaris,"Muhlygrass, Hairawnmuhly",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,muhlcapi,Human Observation,2003-02-05,BICY,466-10,NA,26.1795,-80.9152,26.1814,-80.9138,WGS84,314,Cell #AV10,"17N 2895561 E, 508470 N",UTM,WGS84,1,30,466,10,-80.91507495611722,26.179695419102433,species,A,A,A
Schinus terebinthifolius,Brazilian-pepper,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,schitere,Human Observation,2002-07-31,BICY,252-8,NA,26.0454,-81.3423,26.045,-81.3444,WGS84,314,Cell #E25,"17N 2880757 E, 465755 N",UTM,WGS84,1,250,252,8,-81.34248778969547,26.04533825708644,species,A,A,A
